Word1,Word2,GloVe Cosine Similarity
clopidogrel,prednisone,0.7245544
clopidogrel,heparin,0.3677319
clopidogrel,ciprofloxacin,0.5817483
atorvastatin,diazepam,0.62266934
atorvastatin,aspirin,0.7907388
atorvastatin,warfarin,0.6794277
atorvastatin,insulin,0.49178585
atorvastatin,metformin,0.7736103
atorvastatin,clopidogrel,0.8630626
atorvastatin,atorvastatin,1.0000001
atorvastatin,prednisone,0.68228817
atorvastatin,heparin,0.45790568
atorvastatin,ciprofloxacin,0.5921967
prednisone,diazepam,0.6548755
prednisone,aspirin,0.5902774
prednisone,warfarin,0.66231555
prednisone,insulin,0.45031115
prednisone,metformin,0.6344113
prednisone,clopidogrel,0.7245544
prednisone,atorvastatin,0.68228817
prednisone,prednisone,0.99999994
prednisone,heparin,0.3111976
prednisone,ciprofloxacin,0.5772461
heparin,diazepam,0.36117595
heparin,aspirin,0.39006254
heparin,warfarin,0.43171993
heparin,insulin,0.62281346
heparin,metformin,0.5871352
heparin,clopidogrel,0.3677319
heparin,atorvastatin,0.45790568
heparin,prednisone,0.3111976
heparin,heparin,1.0000002
heparin,ciprofloxacin,0.46271485
ciprofloxacin,diazepam,0.36227244
ciprofloxacin,aspirin,0.51815593
ciprofloxacin,warfarin,0.4269137
ciprofloxacin,insulin,0.36940423
ciprofloxacin,metformin,0.58860546
ciprofloxacin,clopidogrel,0.5817483
ciprofloxacin,atorvastatin,0.5921967
ciprofloxacin,prednisone,0.5772461
ciprofloxacin,heparin,0.46271485
ciprofloxacin,ciprofloxacin,0.9999999
insertion,insertion,1.0000001
insertion,stent,0.12447437
insertion,lumbar,0.19881909
insertion,endoscopy,0.3043165
insertion,intubation,0.10960512
insertion,dialysis,0.09885851
insertion,pacemaker,0.19555216
insertion,hysterectomy,0.19787127
insertion,cataract,0.04464057
insertion,bypass,0.34323955
insertion,thoracentesis,0.06317331
insertion,biopsy,0.11156948
insertion,scan,-0.0379456
insertion,colonoscopy,0.085630745
stent,insertion,0.12447437
stent,stent,1.0
stent,lumbar,0.30670002
stent,endoscopy,0.22521381
stent,intubation,0.12448651
stent,dialysis,0.36717054
stent,pacemaker,0.42189515
stent,hysterectomy,0.039905924
stent,cataract,0.1333463
stent,bypass,0.49725696
stent,thoracentesis,0.1400098
stent,biopsy,0.34545833
stent,scan,0.19955155
stent,colonoscopy,0.18743947
lumbar,insertion,0.19881909
lumbar,stent,0.30670002
lumbar,lumbar,1.0
lumbar,endoscopy,0.38425276
lumbar,intubation,0.29248485
lumbar,dialysis,0.18511045
lumbar,pacemaker,0.40117782
lumbar,hysterectomy,0.18575948
lumbar,cataract,0.30723387
lumbar,bypass,0.4205192
lumbar,thoracentesis,-0.16066873
lumbar,biopsy,0.3043878
lumbar,scan,0.20925647
lumbar,colonoscopy,0.36858594
endoscopy,insertion,0.3043165
endoscopy,stent,0.22521381
endoscopy,lumbar,0.38425276
endoscopy,endoscopy,1.0
endoscopy,intubation,0.28942883
endoscopy,dialysis,0.021819873
endoscopy,pacemaker,0.22015548
endoscopy,hysterectomy,0.41366917
endoscopy,cataract,0.3105747
endoscopy,bypass,0.1659427
endoscopy,thoracentesis,0.06453429
endoscopy,biopsy,0.2917556
endoscopy,scan,0.3521277
endoscopy,colonoscopy,0.528813
intubation,insertion,0.10960512
intubation,stent,0.12448651
intubation,lumbar,0.29248485
intubation,endoscopy,0.28942883
intubation,intubation,0.99999994
intubation,dialysis,0.19495124
intubation,pacemaker,0.37835255
intubation,hysterectomy,0.08896149
intubation,cataract,-0.09424156
intubation,bypass,0.07793626
intubation,thoracentesis,0.16831742
intubation,biopsy,0.0865337
intubation,scan,0.10729232
intubation,colonoscopy,0.34878802
dialysis,insertion,0.09885851
dialysis,stent,0.36717054
dialysis,lumbar,0.18511045
dialysis,endoscopy,0.021819873
dialysis,intubation,0.19495124
dialysis,dialysis,1.0000002
dialysis,pacemaker,0.21737882
dialysis,hysterectomy,0.14220208
dialysis,cataract,0.16466425
dialysis,bypass,0.12406056
dialysis,thoracentesis,0.14688826
dialysis,biopsy,0.24190642
dialysis,scan,0.16590473
dialysis,colonoscopy,0.19938698
pacemaker,insertion,0.19555216
pacemaker,stent,0.42189515
pacemaker,lumbar,0.40117782
pacemaker,endoscopy,0.22015548
pacemaker,intubation,0.37835255
pacemaker,dialysis,0.21737882
pacemaker,pacemaker,0.9999998
pacemaker,hysterectomy,-0.023127386
pacemaker,cataract,0.07191389
pacemaker,bypass,0.31345493
pacemaker,thoracentesis,0.032603227
pacemaker,biopsy,0.123861305
pacemaker,scan,0.027300108
pacemaker,colonoscopy,0.12720631
